appid;name;release_date;english;developer;publisher;platforms;required_age;categories;genres;steamspy_tags;achievements;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;price;genresLista;genero;positiveReviewsPct;year;average_playtime_log
298260;Only If;2014-07-25;1;Creability;Creability;"windows;mac;linux";18;"Single-player;Steam Achievements";"Adventure;Free to Play;Indie";"Free to Play;Adventure;First-Person";10;3752;2137;20;19;1000000-2000000;0.0;['Adventure', 'Free to Play', 'Indie'];Adventure;0.6371200543385974;2014;2.995732273553991
446020;Jalopy - The Road Trip Driving Indie Car Game (公路旅行驾驶游戏);2018-03-28;1;Minskworks;Excalibur Games;windows;0;"Single-player;Steam Achievements;Partial Controller Support";"Adventure;Indie;Simulation";"Driving;Simulation;Adventure";23;3723;1172;283;381;100000-200000;10.99;['Adventure', 'Indie', 'Simulation'];Adventure;0.7605720122574056;2018;5.645446897643238
389430;Knight Online;2016-01-25;1;"Noah System;Mgame";NTTGame;windows;0;"Single-player;Multi-player;MMO;Steam Trading Cards";"Action;Adventure;Free to Play;Massively Multiplayer;RPG";"Free to Play;MMORPG;Massively Multiplayer";0;3704;4187;113;107;2000000-5000000;0.0;['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG'];Adventure;0.46939551387656825;2016;4.727387818712341
10150;Prototype™;2009-06-12;1;Radical Entertainment;Activision;windows;0;Single-player;"Action;Adventure";"Action;Open World;Adventure";0;3702;904;645;1001;500000-1000000;14.99;['Action', 'Adventure'];Adventure;0.8037342596613113;2009;6.4692503167957724
245280;ENSLAVED™: Odyssey to the West™ Premium Edition;2013-10-24;1;Ninja Theory;BANDAI NAMCO Entertainment;windows;0;"Single-player;Steam Achievements;Full controller support;Steam Cloud";"Action;Adventure";"Adventure;Action;Post-apocalyptic";58;3677;650;185;262;200000-500000;14.99;['Action', 'Adventure'];Adventure;0.8497804483475849;2013;5.220355825078324
212160;Vindictus;2012-06-22;1;devCAT;NEXON Korea Corp. & NEXON America Inc.;windows;0;"Single-player;Multi-player;MMO;Co-op;Partial Controller Support";"Action;Adventure;Free to Play;Massively Multiplayer;RPG";"Free to Play;Action;Hack and Slash";0;3646;1460;408;249;1000000-2000000;0.0;['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG'];Adventure;0.7140618879749314;2012;6.0112671744041615
269770;Secrets of Grindea;2015-07-13;1;Pixel Ferrets;Pixel Ferrets;windows;0;"Single-player;Online Multi-Player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards";"Action;Adventure;Indie;RPG;Early Access";"Early Access;RPG;Adventure";28;3642;254;2343;4564;100000-200000;10.99;['Action', 'Adventure', 'Indie', 'RPG', 'Early Access'];Adventure;0.9348049281314168;2015;7.759187438507795
319910;Trine 3: The Artifacts of Power;2015-08-20;1;Frozenbyte;Frozenbyte;"windows;mac;linux";0;"Single-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor";"Action;Adventure;Indie";"Adventure;Co-op;Puzzle";28;3619;1819;449;537;500000-1000000;15.99;['Action', 'Adventure', 'Indie'];Adventure;0.6655020228025009;2015;6.1070228877422545
318600;The Flame in the Flood;2016-02-24;1;The Molasses Flood;"The Molasses Flood;Curve Digital";"windows;mac";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Adventure;Indie";"Survival;Adventure;Great Soundtrack";36;3612;1139;125;125;500000-1000000;14.99;['Action', 'Adventure', 'Indie'];Adventure;0.7602609976846979;2016;4.8283137373023015
398850;Epistory - Typing Chronicles;2016-03-30;1;Fishing Cactus;"Fishing Cactus;Plug In Digital";"windows;mac;linux";0;"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards";"Action;Adventure;Indie";"Typing;Adventure;Action";55;3603;160;324;298;200000-500000;10.99;['Action', 'Adventure', 'Indie'];Adventure;0.9574807334573479;2016;5.780743515792329
